unified_id,year,month,revenue
AIR10211502,2020,10,7885
AIR10211502,2020,9,7645
AIR10211502,2020,8,7783
AIR10211502,2020,7,7911
AIR10211502,2020,6,7283
AIR10211502,2020,5,7953
AIR10211502,2020,4,3320
AIR10211502,2020,3,7425
AIR10211502,2020,2,7102
AIR10211502,2020,1,8609
AIR10211700,2023,12,8250
AIR10211700,2023,11,0
AIR10211700,2023,10,0
AIR10211700,2023,9,0
AIR10211700,2023,8,0
AIR10211700,2023,7,0
AIR10211700,2023,6,0
AIR10211700,2023,5,2550
AIR10211700,2023,4,0
AIR10211700,2023,3,2550
AIR10211700,2023,2,10832
AIR10211700,2023,1,9264
AIR10211700,2022,12,7533
AIR10211700,2022,11,1665
AIR10211700,2022,10,2355
AIR10211700,2022,9,0
AIR10211700,2022,8,0
AIR10211700,2022,7,1570
AIR10211700,2022,6,0
AIR10211700,2022,5,0
AIR10211700,2022,4,0
AIR10211700,2022,3,7065
AIR10211700,2022,2,7850
AIR10211700,2022,1,17970
AIR10211700,2021,12,9885
AIR10211700,2021,11,7375
AIR10211700,2021,10,2355
AIR10211700,2021,9,3625
AIR10211700,2021,8,9175
AIR10211700,2021,7,15400
AIR10211700,2021,6,7700
AIR10211700,2021,5,0
AIR10211700,2021,4,2100
AIR10211700,2021,3,14000
AIR10211700,2021,2,20550
AIR10211700,2021,1,24216
AIR10211700,2020,12,22919
AIR10211700,2020,11,20675
AIR10211700,2020,10,21698
AIR10211700,2020,9,20997
AIR10211700,2020,8,20297
AIR10211700,2020,7,21697
AIR10211700,2020,6,20297
AIR10211700,2020,5,21697
AIR10211700,2020,4,17098
AIR10211700,2020,3,19898
AIR10211700,2020,2,19631
AIR10211700,2020,1,21621
AIR10211875,2020,10,0
AIR10211875,2020,9,0
AIR10211875,2020,8,0
AIR10211875,2020,7,0
AIR10211875,2020,6,0
AIR10211875,2020,5,0
AIR10211875,2020,4,0
AIR10211875,2020,3,0
AIR10211875,2020,2,0
AIR10211875,2020,1,0
AIR10226828,2021,7,0
AIR10226828,2021,6,0
AIR10226828,2021,5,0
AIR10226828,2021,4,0
AIR10226828,2021,3,0
AIR10226828,2021,2,995
AIR10226828,2021,1,0
AIR10226828,2020,12,248
AIR10226828,2020,11,746
AIR10226828,2020,10,0
AIR10226828,2020,9,0
AIR10226828,2020,8,0
AIR10226828,2020,7,2074
AIR10226828,2020,6,0
AIR10226828,2020,5,0
AIR10226828,2020,4,1736
AIR10226828,2020,3,2489
AIR10226828,2020,2,14118
AIR10226828,2020,1,13258
AIR10255480,2020,9,0
AIR10255480,2020,8,0
AIR10255480,2020,7,0
AIR10255480,2020,6,0
AIR10255480,2020,5,0
AIR10255480,2020,4,0
AIR10255480,2020,3,0
AIR10255480,2020,2,8993
AIR10255480,2020,1,12141
AIR10297809,2020,6,0
AIR10297809,2020,5,0
AIR10308344,2020,5,0
AIR10308344,2020,4,0
AIR10308344,2020,3,0
AIR10308344,2020,2,0
AIR10308344,2020,1,0
AIR10344705,2023,12,3310
AIR10344705,2023,11,639
AIR10344705,2023,10,0
AIR10344705,2023,9,0
AIR10344705,2023,8,0
AIR10344705,2023,7,0
AIR10344705,2023,6,0
AIR10344705,2023,5,0
AIR10344705,2023,4,0
AIR10344705,2023,3,0
AIR10344705,2023,2,0
AIR10344705,2023,1,2448
AIR10344705,2022,12,4222
AIR10344705,2022,11,1862
AIR10344705,2022,10,350
AIR10344705,2022,9,350
AIR10344705,2022,8,0
AIR10344705,2022,7,1569
AIR10344705,2022,6,0
AIR10344705,2022,5,390
AIR10344705,2022,4,796
AIR10344705,2022,3,1115
AIR10344705,2022,2,3591
AIR10344705,2022,1,4781
AIR10344705,2021,12,4787
AIR10344705,2021,11,3415
AIR10344705,2021,10,1990
AIR10344705,2021,9,1990
AIR10344705,2021,8,4837
AIR10344705,2021,7,4146
AIR10344705,2021,6,596
AIR10344705,2021,5,894
AIR10344705,2021,4,0
AIR10344705,2021,3,0
AIR10344705,2021,2,0
AIR10344705,2021,1,0
AIR10344705,2020,12,1286
AIR10344705,2020,11,0
AIR10344705,2020,10,0
AIR10344705,2020,9,148
AIR10344705,2020,8,148
AIR10344705,2020,7,595
AIR10344705,2020,6,595
AIR10344705,2020,5,148
AIR10344705,2020,4,0
AIR10344705,2020,3,595
AIR10344705,2020,2,2021
AIR10344705,2020,1,1504
AIR10368261,2020,7,0
AIR10368261,2020,6,0
AIR10368261,2020,5,0
AIR10368261,2020,4,0
AIR10368261,2020,3,0
AIR10368261,2020,2,4404
AIR10368261,2020,1,8719
AIR10389410,2021,5,0
AIR10389410,2021,4,0
AIR10389410,2021,3,0
AIR10389410,2021,2,0
AIR10389410,2021,1,198
AIR10389410,2020,12,596
AIR10389410,2020,11,0
AIR10389410,2020,10,0
AIR10389410,2020,9,0
AIR10389410,2020,8,0
AIR10389410,2020,7,0
AIR10389410,2020,6,0
AIR10389410,2020,5,0
AIR10389410,2020,4,0
AIR10389410,2020,3,497
AIR10389410,2020,2,2574
AIR10389410,2020,1,0
AIR10424683,2023,12,4500
AIR10424683,2023,11,0
AIR10424683,2023,10,0
AIR10424683,2023,9,0
AIR10424683,2023,8,0
AIR10424683,2023,7,0
AIR10424683,2023,6,0
AIR10424683,2023,5,0
AIR10424683,2023,4,0
AIR10424683,2023,3,0
AIR10424683,2023,2,900
AIR10424683,2023,1,2750
AIR10424683,2022,12,4300
AIR10424683,2022,11,900
AIR10424683,2022,10,0
AIR10424683,2022,9,0
AIR10424683,2022,8,0
AIR10424683,2022,7,0
AIR10424683,2022,6,0
AIR10424683,2022,5,0
AIR10424683,2022,4,0
AIR10424683,2022,3,0
AIR10424683,2022,2,3250
AIR10424683,2022,1,6350
